Czas [ms]	 Przyspieszenie obudowy [m/s^2]	 Przyspieszenie eliminatora  [m/s^2]	Pr�dko�� obrotowa [obr/sek]
16	7,810000	7,890000	0,000000
22	9,370000	9,420000	0,000000
28	9,650000	9,740000	0,000000
35	9,710000	9,810000	0,000000
43	9,740000	9,850000	0,000000
49	9,740000	9,860000	0,000000
56	9,730000	9,800000	0,000000
62	9,750000	9,800000	0,000000
69	9,740000	9,790000	0,000000
75	9,770000	9,820000	0,000000
82	9,750000	9,810000	0,000000
89	9,720000	9,830000	0,000000
96	9,750000	9,820000	0,000000
102	9,750000	9,850000	0,000000
109	9,730000	9,830000	0,000000
115	9,740000	9,850000	0,000000
122	9,760000	9,820000	0,000000
129	9,750000	9,810000	0,000000
136	9,740000	9,850000	0,000000
142	9,710000	9,860000	0,000000
149	9,740000	9,840000	0,000000
155	9,740000	9,860000	0,000000
162	9,730000	9,840000	0,000000
168	9,730000	9,830000	0,000000
176	9,720000	9,830000	0,000000
182	9,750000	9,850000	0,000000
189	9,730000	9,840000	0,000000
196	9,730000	9,830000	0,000000
202	9,730000	9,840000	0,000000
209	9,740000	9,850000	0,000000
216	9,740000	9,810000	0,000000
223	9,750000	9,870000	0,000000
229	9,770000	9,820000	0,000000
236	9,760000	9,850000	0,000000
242	9,760000	9,830000	0,000000
249	9,730000	9,820000	0,000000
256	9,730000	9,800000	0,000000
263	9,730000	9,850000	0,000000
269	9,740000	9,860000	0,000000
276	9,750000	9,840000	0,000000
283	9,750000	9,820000	0,000000
289	9,760000	9,830000	0,000000
296	9,700000	9,810000	0,000000
303	9,700000	9,820000	0,000000
310	9,750000	9,810000	0,000000
