Czas [ms]	 Przyspieszenie obudowy [m/s^2]	 Przyspieszenie eliminatora  [m/s^2]	Pr�dko�� obrotowa [obr/sek]
303205	16,040000	17,010000	35,500000
303212	13,200000	11,890000	35,500000
303218	7,190000	4,900000	35,500000
303225	3,140000	2,150000	35,500000
303233	3,600000	4,720000	35,500000
303239	6,060000	7,870000	35,500000
303246	11,370000	11,660000	35,500000
303253	14,170000	14,690000	35,500000
303260	16,080000	16,600000	35,500000
303267	14,000000	13,440000	35,500000
303273	8,950000	7,820000	35,500000
303281	4,580000	4,330000	35,500000
303288	2,280000	4,450000	35,500000
303294	5,890000	7,550000	35,500000
303301	10,300000	11,420000	35,500000
303308	14,770000	14,880000	35,500000
303315	15,420000	15,870000	35,500000
303323	13,420000	13,970000	35,500000
303329	8,780000	7,940000	35,500000
303336	5,170000	3,670000	35,500000
303343	4,300000	3,850000	35,500000
303349	5,880000	9,150000	35,500000
303356	10,170000	10,720000	35,500000
303364	13,050000	13,190000	35,500000
303371	14,790000	13,150000	35,500000
303378	13,560000	13,240000	35,500000
303384	10,540000	9,470000	35,500000
303391	6,980000	6,890000	35,500000
303398	5,580000	5,780000	35,500000
303405	6,550000	7,050000	35,500000
303412	9,110000	9,770000	35,500000
303419	12,380000	12,360000	35,500000
303426	13,430000	13,500000	35,500000
303432	12,990000	12,940000	35,500000
303439	10,720000	10,150000	35,500000
303447	7,990000	7,600000	35,500000
303454	6,350000	6,260000	35,500000
303460	6,600000	7,110000	35,500000
303467	8,700000	9,750000	35,500000
303474	11,370000	11,810000	35,500000
303481	13,100000	12,820000	35,500000
303488	12,570000	12,050000	35,500000
303495	10,520000	10,520000	35,500000
303502	8,370000	8,050000	35,500000
303509	6,920000	6,330000	35,500000
303515	6,770000	7,360000	35,500000
303522	8,660000	9,370000	35,500000
303529	11,030000	11,870000	35,500000
303537	12,660000	12,210000	35,500000
303544	12,720000	12,600000	35,500000
303550	11,000000	10,100000	35,500000
303557	8,400000	8,030000	35,500000
303564	6,890000	6,780000	35,500000
303571	6,930000	7,390000	35,500000
303578	8,550000	9,540000	35,500000
303585	10,910000	11,130000	35,500000
303592	12,580000	12,550000	35,500000
303599	12,470000	12,500000	35,500000
303605	11,070000	10,720000	35,500000
303612	8,810000	8,520000	35,500000
303620	7,000000	6,880000	35,500000
303627	6,980000	7,240000	35,500000
303633	8,490000	9,020000	35,500000
303640	10,630000	11,420000	35,500000
303647	12,360000	12,380000	35,500000
303654	12,630000	12,210000	35,500000
303661	11,200000	10,890000	35,500000
303668	9,030000	8,400000	35,500000
303675	7,270000	7,140000	35,500000
303682	6,710000	7,110000	35,500000
303688	8,220000	8,760000	35,500000
303695	10,490000	10,850000	35,500000
303703	12,240000	12,310000	35,500000
303710	12,610000	12,230000	35,500000
303716	11,440000	11,000000	35,500000
303723	9,230000	8,920000	35,500000
303730	7,510000	7,270000	35,500000
303737	7,030000	7,110000	35,500000
303744	7,830000	8,770000	9,250000
303751	10,010000	10,570000	9,250000
303758	11,870000	12,180000	9,250000
303765	12,530000	12,350000	9,250000
303771	11,490000	11,380000	9,250000
303778	9,600000	9,240000	9,250000
303785	7,700000	7,650000	9,250000
303793	6,940000	7,040000	9,250000
303799	7,870000	8,230000	9,250000
303806	9,570000	10,110000	9,250000
303813	11,610000	11,990000	9,250000
303820	12,500000	12,290000	9,250000
303826	11,730000	11,350000	9,250000
303834	9,800000	9,510000	9,250000
