Czas [ms]	 Przyspieszenie obudowy [m/s^2]	 Przyspieszenie eliminatora  [m/s^2]	Prêdkoœæ obrotowa [obr/sek]
16	5,400000	6,960000	0,000000
22	11,430000	11,750000	0,250000
29	14,060000	15,640000	0,250000
35	16,050000	16,420000	0,250000
43	15,090000	11,520000	0,250000
49	6,870000	5,830000	0,250000
56	4,290000	3,700000	0,250000
62	2,200000	3,980000	0,250000
69	9,880000	11,350000	0,250000
75	14,410000	13,820000	0,250000
82	17,240000	17,900000	0,250000
89	14,780000	12,420000	0,250000
96	9,600000	9,090000	0,250000
102	4,630000	5,640000	0,250000
109	2,680000	0,850000	0,250000
115	5,330000	6,730000	0,250000
122	11,570000	10,510000	0,250000
130	17,240000	17,360000	0,250000
136	16,050000	16,090000	0,250000
143	13,130000	12,380000	0,250000
149	6,120000	5,280000	0,250000
156	3,450000	3,860000	0,250000
163	3,270000	2,580000	0,250000
169	7,450000	8,300000	0,250000
177	14,060000	14,760000	0,250000
183	17,300000	16,290000	0,250000
190	15,380000	15,240000	0,250000
196	10,090000	7,670000	0,250000
203	3,900000	5,090000	0,250000
210	0,940000	1,620000	0,250000
217	3,160000	6,830000	0,250000
224	10,300000	11,630000	0,250000
230	15,680000	17,320000	0,250000
237	18,680000	18,020000	0,250000
244	13,420000	10,790000	0,250000
250	9,090000	6,640000	0,250000
258	2,340000	1,110000	0,250000
264	2,720000	4,020000	0,250000
271	6,420000	7,860000	0,250000
277	13,570000	14,690000	0,250000
284	19,010000	17,170000	0,250000
291	16,400000	14,260000	0,250000
297	12,900000	9,900000	0,250000
305	4,490000	2,830000	0,250000
311	1,650000	3,110000	0,250000
318	1,880000	4,230000	0,250000
324	10,940000	11,270000	0,250000
331	15,960000	15,130000	0,250000
338	16,100000	15,660000	0,250000
345	14,720000	12,630000	0,250000
352	8,290000	5,880000	0,250000
358	3,290000	3,090000	0,250000
365	2,840000	3,260000	0,250000
371	9,040000	9,830000	0,250000
378	12,510000	13,450000	0,250000
386	15,910000	18,720000	0,250000
392	15,760000	13,350000	0,250000
399	11,510000	10,700000	0,250000
405	4,740000	4,430000	0,250000
412	0,900000	3,300000	0,250000
418	4,420000	6,130000	0,250000
425	10,200000	9,690000	0,250000
433	15,570000	16,990000	0,250000
439	16,930000	17,380000	0,250000
446	15,300000	12,950000	0,250000
452	8,600000	6,500000	0,250000
459	3,640000	3,480000	0,250000
466	2,540000	3,530000	0,250000
473	7,710000	7,110000	0,250000
480	13,540000	14,450000	0,250000
486	15,320000	16,380000	0,250000
493	16,640000	15,840000	0,250000
499	10,840000	9,840000	0,250000
506	5,840000	4,670000	0,250000
514	2,380000	4,110000	0,250000
520	4,750000	4,860000	0,250000
527	9,800000	12,660000	0,250000
533	14,410000	14,510000	0,250000
540	16,380000	18,170000	0,250000
546	13,100000	10,880000	0,250000
553	7,730000	8,260000	0,250000
561	3,640000	2,800000	0,250000
567	3,580000	4,060000	0,250000
574	6,500000	7,300000	0,250000
580	12,160000	15,040000	0,250000
587	17,970000	16,400000	0,250000
593	14,820000	15,270000	0,250000
601	9,950000	10,180000	0,250000
608	4,940000	4,510000	0,250000
614	1,570000	3,720000	0,250000
621	4,880000	6,040000	0,250000
627	10,320000	11,940000	0,250000
634	15,370000	15,350000	0,250000
641	17,570000	16,570000	0,250000
648	14,850000	12,020000	0,250000
655	8,210000	6,980000	0,250000
661	2,730000	3,200000	0,250000
668	3,690000	4,350000	0,250000
674	6,960000	6,630000	0,250000
681	13,340000	15,530000	0,250000
688	17,400000	16,140000	0,250000
695	15,060000	18,030000	0,250000
702	11,270000	8,540000	0,250000
708	4,310000	4,970000	0,250000
715	0,570000	1,200000	0,250000
721	4,420000	6,230000	0,250000
729	9,870000	9,980000	0,250000
735	16,660000	17,580000	0,250000
742	17,290000	15,910000	0,250000
749	15,390000	13,690000	0,250000
755	8,020000	5,520000	0,250000
762	2,240000	2,260000	0,250000
769	1,510000	2,620000	0,250000
776	6,690000	6,940000	0,250000
782	12,340000	14,190000	0,250000
789	16,630000	16,150000	0,250000
796	16,750000	16,500000	0,250000
802	11,590000	9,330000	0,250000
809	5,920000	6,060000	0,250000
816	1,970000	1,330000	0,250000
823	4,150000	5,000000	0,250000
830	9,800000	9,890000	0,250000
836	15,590000	16,680000	0,250000
843	16,520000	15,610000	0,250000
849	14,410000	13,750000	0,250000
857	8,650000	6,850000	0,250000
863	2,720000	3,320000	0,250000
870	4,060000	3,720000	0,250000
877	7,280000	8,100000	0,250000
883	11,890000	14,520000	0,250000
890	17,620000	16,940000	0,250000
897	17,940000	14,610000	0,250000
904	12,010000	11,770000	0,250000
910	5,410000	4,550000	0,250000
917	3,590000	3,920000	0,250000
924	4,300000	3,290000	0,250000
930	10,580000	11,280000	0,250000
937	14,450000	14,180000	0,250000
944	15,780000	16,260000	0,250000
951	12,660000	11,720000	0,250000
958	8,460000	6,810000	0,250000
964	4,270000	4,350000	0,250000
971	2,870000	3,230000	0,250000
977	6,600000	8,800000	0,250000
985	11,970000	13,220000	0,250000
991	17,990000	16,910000	0,250000
998	17,070000	13,550000	0,250000
1005	11,310000	11,500000	0,250000
1011	3,550000	3,940000	0,250000
1018	1,650000	4,490000	0,250000
1025	4,630000	4,620000	0,250000
1032	10,030000	10,160000	19,750000
1039	15,770000	15,760000	19,750000
1045	16,190000	16,800000	19,750000
1052	13,070000	12,060000	19,750000
1059	6,320000	7,190000	19,750000
1065	3,310000	3,620000	19,750000
1073	3,060000	4,880000	19,750000
1079	7,830000	8,340000	19,750000
1086	14,690000	15,860000	19,750000
1093	17,120000	15,960000	19,750000
1099	15,350000	15,100000	19,750000
1106	10,640000	7,460000	19,750000
1113	4,380000	5,220000	19,750000
1120	1,810000	1,550000	19,750000
1127	5,520000	5,670000	19,750000
1133	12,190000	12,680000	19,750000
1140	16,540000	16,450000	19,750000
1146	16,780000	16,730000	19,750000
1154	12,250000	11,020000	19,750000
1161	6,850000	6,900000	19,750000
1167	2,540000	0,870000	19,750000
1174	3,820000	5,730000	19,750000
1181	8,300000	7,100000	19,750000
1187	13,940000	16,580000	19,750000
1195	18,310000	15,410000	19,750000
1201	16,460000	15,220000	19,750000
1208	10,830000	7,350000	19,750000
1215	3,340000	2,910000	19,750000
1221	3,270000	3,200000	19,750000
1228	5,820000	6,240000	19,750000
1234	11,710000	12,940000	19,750000
1242	16,800000	15,840000	19,750000
1249	17,030000	17,000000	19,750000
1255	13,310000	12,150000	19,750000
1262	6,800000	5,350000	19,750000
1269	2,120000	1,990000	19,750000
1275	2,270000	2,930000	19,750000
1283	8,810000	9,880000	19,750000
1289	14,340000	14,330000	19,750000
1296	17,840000	17,960000	19,750000
1303	16,720000	13,520000	19,750000
1309	8,990000	8,610000	19,750000
1316	3,040000	2,280000	19,750000
1324	1,410000	1,170000	19,750000
1330	6,020000	7,540000	19,750000
1337	10,420000	12,050000	19,750000
1344	15,800000	17,800000	19,750000
1350	17,540000	14,600000	19,750000
1357	12,410000	13,040000	19,750000
1364	6,370000	3,370000	19,750000
1371	2,590000	4,000000	19,750000
1378	3,610000	3,650000	19,750000
1384	8,080000	11,140000	19,750000
1391	14,430000	15,370000	19,750000
1398	16,830000	16,780000	19,750000
1404	15,080000	12,730000	19,750000
1412	10,000000	7,770000	19,750000
1419	3,690000	4,320000	19,750000
1425	2,140000	3,880000	19,750000
1432	7,330000	6,500000	19,750000
1438	12,590000	13,320000	19,750000
1445	17,020000	16,690000	19,750000
1453	16,850000	15,890000	19,750000
1459	11,340000	9,970000	19,750000
1466	6,040000	5,270000	19,750000
1473	3,100000	2,170000	19,750000
1479	3,530000	5,860000	19,750000
1486	9,240000	10,250000	19,750000
1494	16,290000	16,850000	19,750000
1500	17,880000	15,290000	19,750000
1507	15,130000	12,370000	19,750000
1514	8,220000	7,160000	19,750000
1520	2,540000	1,140000	19,750000
1527	3,770000	4,010000	19,750000
1533	8,060000	6,360000	19,750000
1541	13,160000	16,350000	19,750000
1548	17,410000	14,430000	19,750000
