Czas [ms]	 Przyspieszenie obudowy [m/s^2]	 Przyspieszenie eliminatora  [m/s^2]	Prêdkoœæ obrotowa [obr/sek]
15	7,810000	7,840000	0,000000
22	9,340000	9,380000	0,000000
28	9,670000	9,680000	0,000000
35	9,730000	9,790000	0,000000
41	9,730000	9,780000	0,000000
49	9,730000	9,820000	0,000000
55	9,730000	9,780000	0,000000
62	9,740000	9,800000	0,000000
69	9,730000	9,830000	0,000000
75	9,730000	9,810000	0,000000
82	9,740000	9,800000	0,000000
89	9,730000	9,820000	0,000000
96	9,710000	9,810000	0,000000
102	9,740000	9,800000	0,000000
109	9,720000	9,790000	0,000000
115	9,720000	9,800000	0,000000
122	9,700000	9,840000	0,000000
129	9,730000	9,820000	0,000000
136	9,740000	9,850000	0,000000
142	9,730000	9,800000	0,000000
149	9,740000	9,790000	0,000000
155	9,770000	9,800000	0,000000
162	9,730000	9,830000	0,000000
168	9,770000	9,850000	0,000000
176	9,730000	9,800000	0,000000
183	9,730000	9,800000	0,000000
189	9,740000	9,790000	0,000000
196	9,710000	9,800000	0,000000
202	9,710000	9,800000	0,000000
209	9,720000	9,780000	0,000000
216	9,740000	9,790000	0,000000
223	9,760000	9,810000	0,000000
229	9,740000	9,800000	0,000000
236	9,740000	9,820000	0,000000
242	9,740000	9,800000	0,000000
249	9,740000	9,820000	0,000000
256	9,740000	9,800000	0,000000
263	9,760000	9,800000	0,000000
270	9,740000	9,820000	0,000000
276	9,740000	9,790000	0,000000
283	9,710000	9,790000	0,000000
289	9,720000	9,820000	0,000000
296	9,720000	9,800000	0,000000
303	9,740000	9,790000	0,000000
310	9,710000	9,800000	0,000000
316	9,720000	9,830000	0,000000
323	9,720000	9,820000	0,000000
329	9,720000	9,780000	0,000000
336	9,750000	9,810000	0,000000
343	9,750000	9,770000	0,000000
350	9,730000	9,790000	0,000000
357	9,730000	9,810000	0,000000
363	9,730000	9,830000	0,000000
370	9,760000	9,780000	0,000000
376	9,730000	9,770000	0,000000
384	9,740000	9,840000	0,000000
390	9,750000	9,800000	0,000000
397	9,750000	9,810000	0,000000
403	9,710000	9,790000	0,000000
410	9,710000	9,790000	0,000000
416	9,730000	9,810000	0,000000
423	9,740000	9,790000	0,000000
430	9,740000	9,800000	0,000000
437	9,750000	9,800000	0,000000
444	9,760000	9,820000	0,000000
450	9,760000	9,780000	0,000000
457	9,750000	9,790000	0,000000
463	9,740000	9,810000	0,000000
471	9,750000	9,780000	0,000000
477	9,770000	9,810000	0,000000
484	9,740000	9,800000	0,000000
490	9,740000	9,820000	0,000000
497	9,740000	9,800000	0,000000
503	9,770000	9,760000	0,000000
510	9,730000	9,790000	0,000000
517	9,750000	9,820000	0,000000
524	9,750000	9,830000	0,000000
531	9,790000	9,800000	0,000000
537	9,730000	9,810000	0,000000
544	9,720000	9,790000	0,000000
550	9,750000	9,790000	0,000000
558	9,720000	9,800000	0,000000
564	9,720000	9,790000	0,000000
571	9,730000	9,790000	0,000000
577	9,740000	9,820000	0,000000
584	9,740000	9,810000	0,000000
590	9,730000	9,790000	0,000000
598	9,730000	9,780000	0,000000
605	9,720000	9,810000	0,000000
611	9,740000	9,780000	0,000000
618	9,750000	9,810000	0,000000
624	9,730000	9,810000	0,000000
631	9,750000	9,800000	0,000000
637	9,750000	9,780000	0,000000
645	9,700000	9,770000	0,000000
651	9,760000	9,820000	0,000000
658	9,760000	9,780000	0,000000
664	9,730000	9,800000	0,000000
671	9,730000	9,790000	0,000000
677	9,700000	9,810000	0,000000
685	9,730000	9,780000	0,000000
692	9,730000	9,780000	0,000000
698	9,730000	9,840000	0,000000
705	9,700000	9,810000	0,000000
711	9,750000	9,840000	0,000000
718	9,740000	9,810000	0,000000
724	9,700000	9,820000	0,000000
732	9,730000	9,810000	0,000000
738	9,760000	9,810000	0,000000
745	9,730000	9,790000	0,000000
751	9,710000	9,840000	0,000000
758	9,720000	9,820000	0,000000
764	9,750000	9,820000	0,000000
772	9,750000	9,810000	0,000000
778	9,750000	9,810000	0,000000
785	9,740000	9,810000	0,000000
792	9,740000	9,800000	0,000000
798	9,720000	9,790000	0,000000
805	9,750000	9,820000	0,000000
812	9,720000	9,810000	0,000000
819	9,760000	9,800000	0,000000
825	9,720000	9,790000	0,000000
832	9,760000	9,790000	0,000000
838	9,720000	9,820000	0,000000
845	9,750000	9,800000	0,000000
851	9,740000	9,790000	0,000000
859	9,710000	9,810000	0,000000
866	9,750000	9,810000	0,000000
872	9,780000	9,800000	0,000000
879	9,760000	9,830000	0,000000
885	9,740000	9,800000	0,000000
892	9,760000	9,800000	0,000000
899	9,720000	9,800000	0,000000
906	9,730000	9,820000	0,000000
912	9,760000	9,830000	0,000000
919	9,740000	9,800000	0,000000
925	9,770000	9,790000	0,000000
932	9,760000	9,770000	0,000000
939	9,750000	9,820000	0,000000
946	9,730000	9,840000	0,000000
953	9,740000	9,790000	0,000000
959	9,740000	9,800000	0,000000
966	9,740000	9,800000	0,000000
972	9,740000	9,790000	0,000000
979	9,740000	9,810000	0,000000
986	9,750000	9,800000	0,000000
993	9,760000	9,810000	0,000000
999	9,750000	9,810000	0,000000
1006	9,730000	9,790000	0,000000
1012	9,760000	9,800000	0,000000
1019	9,720000	9,810000	0,000000
1027	9,720000	9,830000	0,000000
1033	9,730000	9,820000	0,000000
1040	9,720000	9,830000	0,000000
1046	9,750000	9,800000	0,000000
1053	9,740000	9,810000	0,000000
1059	9,740000	9,820000	0,000000
1067	9,710000	9,810000	0,000000
1074	9,710000	9,800000	0,000000
1080	9,700000	9,800000	0,000000
1087	9,700000	9,790000	0,000000
1093	9,740000	9,810000	0,000000
1100	9,750000	9,790000	0,000000
1106	9,750000	9,770000	0,000000
1114	9,750000	9,790000	0,000000
1121	9,680000	9,790000	0,000000
1127	9,720000	9,780000	0,000000
1134	9,740000	9,810000	0,000000
1140	9,740000	9,830000	0,000000
1147	9,730000	9,810000	0,000000
1154	9,740000	9,800000	0,000000
1161	9,730000	9,800000	0,000000
1168	9,720000	9,820000	0,000000
1174	9,750000	9,840000	0,000000
1181	9,700000	9,820000	0,000000
1187	9,700000	9,790000	0,000000
1195	9,740000	9,790000	0,000000
1201	9,750000	9,780000	0,000000
1208	9,730000	9,770000	0,000000
1215	9,730000	9,820000	0,000000
1221	9,750000	9,770000	0,000000
1228	9,750000	9,790000	0,000000
1234	9,750000	9,810000	0,000000
1242	9,730000	9,810000	0,000000
1248	9,730000	9,830000	0,000000
1255	9,760000	9,820000	0,000000
1262	9,740000	9,790000	0,000000
1268	9,710000	9,810000	0,000000
1275	9,720000	9,840000	0,000000
1282	9,740000	9,800000	0,000000
1289	9,740000	9,790000	0,000000
1295	9,750000	9,780000	0,000000
1302	9,710000	9,780000	0,000000
1309	9,720000	9,810000	0,000000
1315	9,700000	9,790000	0,000000
1323	9,740000	9,780000	0,000000
1329	9,730000	9,800000	0,000000
1336	9,750000	9,780000	0,000000
1342	9,760000	9,770000	0,000000
1349	9,740000	9,790000	0,000000
1356	9,730000	9,810000	0,000000
1362	9,750000	9,790000	0,000000
1370	9,710000	9,790000	0,000000
1376	9,750000	9,790000	0,000000
1383	9,740000	9,820000	0,000000
1389	9,730000	9,830000	0,000000
1396	9,760000	9,810000	0,000000
1403	9,720000	9,810000	0,000000
1410	9,720000	9,810000	0,000000
1417	9,740000	9,830000	0,000000
1423	9,740000	9,810000	0,000000
1430	9,740000	9,800000	0,000000
1436	9,690000	9,800000	0,000000
1443	9,710000	9,790000	0,000000
1451	9,740000	9,830000	0,000000
1457	9,770000	9,810000	0,000000
1464	9,750000	9,800000	0,000000
1470	9,730000	9,810000	0,000000
1477	9,700000	9,820000	0,000000
1483	9,730000	9,770000	0,000000
1490	9,760000	9,790000	0,000000
1498	9,750000	9,810000	0,000000
1504	9,780000	9,820000	0,000000
1511	9,770000	9,770000	0,000000
1517	9,770000	9,820000	0,000000
1524	9,760000	9,820000	0,000000
1530	9,710000	9,810000	0,000000
1538	9,740000	9,800000	0,000000
1545	9,700000	9,790000	0,000000
1551	9,730000	9,820000	0,000000
1558	9,740000	9,800000	0,000000
1564	9,740000	9,780000	0,000000
1571	9,740000	9,790000	0,000000
1577	9,770000	9,780000	0,000000
1585	9,760000	9,810000	0,000000
1592	9,740000	9,800000	0,000000
1598	9,760000	9,790000	0,000000
1605	9,730000	9,780000	0,000000
1611	9,750000	9,780000	0,000000
1618	9,730000	9,800000	0,000000
1625	9,750000	9,790000	0,000000
1632	9,760000	9,800000	0,000000
1639	9,720000	9,780000	0,000000
1645	9,740000	9,800000	0,000000
1652	9,730000	9,800000	0,000000
1658	9,760000	9,790000	0,000000
1666	9,750000	9,790000	0,000000
1672	9,740000	9,810000	0,000000
1679	9,730000	9,830000	0,000000
1686	9,740000	9,790000	0,000000
1692	9,760000	9,770000	0,000000
1699	9,720000	9,800000	0,000000
1705	9,730000	9,800000	0,000000
1713	9,720000	9,790000	0,000000
1719	9,740000	9,810000	0,000000
1726	9,730000	9,830000	0,000000
1733	9,720000	9,810000	0,000000
1739	9,720000	9,770000	0,000000
1746	9,720000	9,800000	0,000000
1753	9,720000	9,840000	0,000000
1760	9,750000	9,800000	0,000000
1766	9,740000	9,790000	0,000000
1773	9,740000	9,810000	0,000000
1780	9,740000	9,820000	0,000000
1786	9,770000	9,770000	0,000000
1794	9,730000	9,790000	0,000000
1800	9,700000	9,810000	0,000000
1807	9,720000	9,820000	0,000000
1813	9,720000	9,820000	0,000000
1820	9,720000	9,810000	0,000000
1827	9,740000	9,830000	0,000000
1833	9,740000	9,770000	0,000000
1841	9,710000	9,780000	0,000000
1847	9,750000	9,800000	0,000000
1854	9,750000	9,830000	0,000000
1860	9,750000	9,780000	0,000000
1867	9,740000	9,800000	0,000000
1874	9,720000	9,800000	0,000000
1881	9,750000	9,820000	0,000000
1888	9,720000	9,800000	0,000000
1894	9,710000	9,830000	0,000000
1901	9,720000	9,770000	0,000000
1907	9,720000	9,800000	0,000000
1914	9,720000	9,820000	0,000000
1922	9,730000	9,820000	0,000000
1928	9,740000	9,820000	0,000000
1935	9,740000	9,780000	0,000000
1941	9,750000	9,810000	0,000000
1948	9,720000	9,810000	0,000000
1954	9,750000	9,800000	0,000000
1961	9,750000	9,800000	0,000000
1969	9,750000	9,760000	0,000000
1975	9,740000	9,820000	0,000000
1982	9,750000	9,770000	0,000000
1988	9,740000	9,830000	0,000000
1995	9,740000	9,810000	0,000000
2001	9,730000	9,780000	0,000000
2009	9,710000	9,770000	0,000000
2016	9,740000	9,790000	0,000000
2022	9,750000	9,770000	0,000000
2029	9,750000	9,790000	0,000000
2035	9,770000	9,800000	0,000000
2042	9,730000	9,830000	0,000000
2049	9,730000	9,830000	0,000000
2056	9,740000	9,830000	0,000000
2063	9,760000	9,820000	0,000000
2069	9,750000	9,780000	0,000000
2076	9,740000	9,800000	0,000000
2082	9,740000	9,800000	0,000000
2089	9,710000	9,820000	0,000000
2096	9,750000	9,790000	0,000000
2103	9,730000	9,840000	0,000000
2110	9,700000	9,800000	0,000000
2116	9,730000	9,820000	0,000000
2123	9,760000	9,810000	0,000000
2129	9,740000	9,800000	0,000000
2137	9,730000	9,820000	0,000000
2143	9,750000	9,800000	0,000000
2150	9,750000	9,810000	0,000000
2157	9,750000	9,790000	0,000000
2163	9,740000	9,830000	0,000000
2170	9,760000	9,800000	0,000000
2177	9,700000	9,810000	0,000000
2184	9,720000	9,800000	0,000000
2190	9,730000	9,820000	0,000000
2197	9,730000	9,810000	0,000000
2204	9,730000	9,790000	0,000000
2210	9,740000	9,820000	0,000000
2217	9,730000	9,810000	0,000000
2224	9,750000	9,790000	0,000000
2231	9,720000	9,810000	0,000000
2237	9,730000	9,800000	0,000000
2244	9,720000	9,790000	0,000000
2251	9,720000	9,800000	0,000000
2257	9,760000	9,790000	0,000000
2265	9,750000	9,830000	0,000000
2271	9,760000	9,810000	0,000000
2278	9,760000	9,800000	0,000000
2284	9,740000	9,790000	0,000000
2291	9,740000	9,780000	0,000000
2298	9,740000	9,780000	0,000000
2305	9,750000	9,820000	0,000000
2312	9,730000	9,810000	0,000000
2318	9,730000	9,800000	0,000000
2325	9,720000	9,780000	0,000000
2331	9,720000	9,800000	0,000000
2338	9,710000	9,790000	0,000000
2345	9,740000	9,820000	0,000000
2352	9,770000	9,790000	0,000000
2359	9,730000	9,760000	0,000000
2365	9,720000	9,790000	0,000000
2372	9,750000	9,790000	0,000000
2378	9,740000	9,820000	0,000000
2385	9,750000	9,800000	0,000000
2393	9,780000	9,810000	0,000000
2399	9,730000	9,810000	0,000000
2406	9,740000	9,800000	0,000000
2412	9,740000	9,810000	0,000000
2419	9,740000	9,800000	0,000000
2425	9,720000	9,820000	0,000000
2433	9,730000	9,810000	0,000000
2440	9,730000	9,830000	0,000000
2446	9,730000	9,810000	0,000000
2453	9,770000	9,800000	0,000000
2459	9,750000	9,820000	0,000000
2466	9,750000	9,790000	0,000000
2472	9,750000	9,810000	0,000000
2480	9,770000	9,790000	0,000000
2487	9,740000	9,790000	0,000000
2493	9,720000	9,790000	0,000000
2500	9,750000	9,800000	0,000000
2506	9,720000	9,810000	0,000000
2513	9,720000	9,790000	0,000000
2520	9,750000	9,820000	0,000000
2527	9,740000	9,780000	0,000000
2534	9,740000	9,810000	0,000000
2540	9,740000	9,770000	0,000000
2547	9,730000	9,810000	0,000000
2553	9,730000	9,810000	0,000000
2561	9,730000	9,800000	0,000000
2567	9,740000	9,790000	0,000000
2574	9,740000	9,780000	0,000000
2581	9,730000	9,810000	0,000000
2587	9,770000	9,860000	0,000000
2594	9,770000	9,800000	0,000000
2600	9,760000	9,790000	0,000000
2608	9,720000	9,810000	0,000000
2614	9,720000	9,860000	0,000000
2621	9,730000	9,850000	0,000000
2628	9,750000	9,830000	0,000000
2634	9,720000	9,810000	0,000000
2641	9,740000	9,800000	0,000000
2648	9,740000	9,810000	0,000000
2655	9,730000	9,790000	0,000000
2661	9,740000	9,790000	0,000000
2668	9,740000	9,850000	0,000000
2675	9,740000	9,780000	0,000000
2681	9,730000	9,790000	0,000000
2689	9,740000	9,810000	0,000000
2695	9,740000	9,810000	0,000000
2702	9,760000	9,810000	0,000000
2708	9,750000	9,790000	0,000000
2715	9,740000	9,810000	0,000000
2722	9,740000	9,770000	0,000000
2728	9,770000	9,810000	0,000000
2736	9,750000	9,760000	0,000000
2742	9,720000	9,790000	0,000000
2749	9,710000	9,810000	0,000000
2755	9,720000	9,790000	0,000000
2762	9,750000	9,840000	0,000000
2769	9,740000	9,800000	0,000000
2776	9,740000	9,790000	0,000000
2783	9,710000	9,820000	0,000000
2789	9,740000	9,800000	0,000000
2796	9,700000	9,800000	0,000000
2803	9,730000	9,780000	0,000000
2809	9,730000	9,830000	0,000000
2817	9,770000	9,840000	0,000000
2823	9,770000	9,810000	0,000000
2830	9,760000	9,800000	0,000000
2836	9,730000	9,820000	0,000000
2843	9,740000	9,800000	0,000000
2850	9,740000	9,810000	0,000000
2856	9,740000	9,830000	0,000000
2864	9,780000	9,810000	0,000000
2870	9,740000	9,800000	0,000000
2877	9,740000	9,830000	0,000000
2883	9,730000	9,810000	0,000000
2890	9,720000	9,790000	0,000000
2897	9,730000	9,810000	0,000000
2904	9,730000	9,830000	0,000000
2911	9,720000	9,790000	0,000000
2917	9,740000	9,800000	0,000000
2924	9,750000	9,790000	0,000000
2930	9,720000	9,800000	0,000000
2937	9,710000	9,800000	0,000000
2945	9,730000	9,790000	0,000000
2951	9,730000	9,790000	0,000000
2958	9,760000	9,780000	0,000000
2964	9,750000	9,790000	0,000000
2971	9,720000	9,780000	0,000000
2977	9,740000	9,810000	0,000000
2984	9,730000	9,820000	0,000000
2992	9,720000	9,810000	0,000000
2998	9,730000	9,830000	0,000000
3005	9,730000	9,790000	0,000000
3011	9,740000	9,790000	0,000000
3018	9,720000	9,780000	0,000000
3024	9,730000	9,780000	0,000000
3032	9,740000	9,840000	0,000000
3039	9,740000	9,820000	0,000000
3045	9,770000	9,790000	0,000000
3052	9,730000	9,780000	0,000000
3058	9,750000	9,770000	0,000000
3065	9,780000	9,810000	0,000000
3072	9,740000	9,820000	0,000000
3079	9,730000	9,810000	0,000000
3086	9,770000	9,850000	0,000000
3092	9,750000	9,810000	0,000000
3099	9,750000	9,830000	0,000000
3105	9,750000	9,820000	0,000000
3112	9,750000	9,810000	0,000000
3119	9,770000	9,830000	0,000000
3126	9,740000	9,790000	0,000000
3133	9,740000	9,820000	0,000000
3139	9,760000	9,800000	0,000000
3146	9,760000	9,790000	0,000000
3152	9,760000	9,810000	0,000000
3160	9,750000	9,800000	0,000000
3166	9,780000	9,780000	0,000000
3173	9,750000	9,810000	0,000000
3180	9,780000	9,810000	0,000000
3186	9,740000	9,810000	0,000000
3193	9,740000	9,770000	0,000000
3200	9,730000	9,800000	0,000000
3207	9,740000	9,780000	0,000000
3213	9,740000	9,800000	0,000000
3220	9,760000	9,790000	0,000000
3227	9,760000	9,780000	0,000000
3233	9,750000	9,810000	0,000000
3240	9,720000	9,830000	0,000000
3247	9,730000	9,790000	0,000000
3254	9,740000	9,800000	0,000000
3260	9,750000	9,800000	0,000000
3267	9,740000	9,800000	0,000000
3274	9,770000	9,800000	0,000000
3280	9,730000	9,820000	0,000000
3288	9,720000	9,800000	0,000000
3294	9,730000	9,840000	0,000000
3301	9,740000	9,770000	0,000000
3307	9,740000	9,800000	0,000000
3314	9,730000	9,790000	0,000000
3321	9,730000	9,810000	0,000000
3328	9,750000	9,820000	0,000000
3335	9,740000	9,790000	0,000000
3341	9,740000	9,810000	0,000000
3348	9,710000	9,800000	0,000000
3354	9,730000	9,810000	0,000000
3361	9,740000	9,800000	0,000000
3368	9,710000	9,790000	0,000000
3375	9,730000	9,780000	0,000000
3382	9,760000	9,810000	0,000000
3388	9,750000	9,830000	0,000000
3395	9,740000	9,810000	0,000000
3401	9,740000	9,760000	0,000000
3408	9,740000	9,810000	0,000000
3416	9,740000	9,800000	0,000000
3422	9,730000	9,800000	0,000000
3429	9,740000	9,810000	0,000000
3435	9,750000	9,800000	0,000000
3442	9,760000	9,790000	0,000000
3448	9,760000	9,800000	0,000000
3456	9,730000	9,850000	0,000000
3463	9,700000	9,800000	0,000000
3469	9,720000	9,790000	0,000000
3476	9,700000	9,820000	0,000000
3482	9,730000	9,800000	0,000000
3489	9,740000	9,790000	0,000000
3495	9,740000	9,790000	0,000000
3503	9,740000	9,810000	0,000000
3510	9,720000	9,790000	0,000000
3516	9,730000	9,800000	0,000000
