Czas [ms]	 Przyspieszenie obudowy [m/s^2]	 Przyspieszenie eliminatora  [m/s^2]	Prêdkoœæ obrotowa [obr/sek]
15	8,720000	7,730000	0,000000
22	10,080000	9,430000	0,000000
29	10,430000	10,620000	0,250000
35	9,940000	11,240000	0,250000
43	9,720000	10,520000	0,250000
49	9,760000	9,460000	0,250000
56	10,030000	8,910000	0,250000
62	9,080000	8,510000	0,250000
69	8,770000	8,830000	0,250000
75	9,780000	9,490000	0,250000
82	10,320000	10,480000	0,250000
89	10,830000	11,420000	0,250000
96	9,980000	11,730000	0,250000
102	8,990000	10,400000	0,250000
109	9,890000	8,880000	0,250000
115	9,210000	8,300000	0,250000
122	8,940000	8,590000	0,250000
129	9,120000	8,790000	0,250000
136	9,040000	8,610000	0,250000
142	10,210000	9,370000	0,250000
149	11,290000	11,150000	0,250000
156	10,710000	12,710000	0,250000
162	9,310000	11,790000	0,250000
169	9,330000	9,560000	0,250000
176	9,160000	7,210000	0,250000
183	9,760000	7,030000	0,250000
189	9,350000	8,800000	0,250000
196	9,250000	10,280000	0,250000
202	10,230000	11,290000	0,250000
209	10,740000	11,630000	0,250000
217	11,050000	11,060000	0,250000
223	9,840000	10,710000	0,250000
230	8,490000	9,780000	0,250000
236	8,130000	7,400000	0,250000
243	9,070000	6,300000	0,250000
249	9,190000	8,210000	0,250000
257	9,210000	10,750000	0,250000
263	9,890000	11,480000	0,250000
270	10,550000	11,840000	0,250000
276	11,020000	11,870000	0,250000
283	9,720000	10,500000	0,250000
290	8,970000	8,690000	0,250000
296	9,250000	7,300000	0,250000
304	10,040000	7,800000	0,250000
310	10,320000	9,260000	0,250000
317	10,130000	11,740000	0,250000
324	10,040000	12,870000	0,250000
330	9,940000	11,330000	0,250000
337	9,640000	8,610000	0,250000
344	9,430000	7,950000	0,250000
351	8,360000	8,470000	0,250000
357	8,780000	8,530000	0,250000
364	9,040000	9,310000	0,250000
370	10,160000	10,350000	0,250000
377	10,750000	10,530000	0,250000
385	10,210000	11,010000	0,250000
391	10,300000	11,540000	0,250000
398	9,940000	10,400000	0,250000
404	8,920000	9,270000	0,250000
411	9,410000	9,190000	0,250000
418	9,160000	8,680000	0,250000
424	8,940000	8,310000	0,250000
432	9,710000	9,180000	0,250000
438	10,490000	10,370000	0,250000
445	10,570000	11,320000	0,250000
451	10,520000	11,230000	0,250000
458	9,550000	9,820000	0,250000
465	9,720000	8,560000	0,250000
472	9,330000	8,400000	0,250000
479	9,190000	9,740000	0,250000
485	9,300000	9,600000	0,250000
492	9,420000	8,540000	0,250000
498	10,530000	9,660000	0,250000
505	11,860000	11,240000	0,250000
512	10,760000	12,610000	0,250000
519	9,530000	12,490000	0,250000
526	9,510000	9,480000	0,250000
532	9,020000	6,730000	0,250000
539	9,310000	6,630000	0,250000
545	8,520000	8,840000	0,250000
552	8,990000	9,590000	0,250000
559	9,910000	10,210000	0,250000
566	10,540000	11,560000	0,250000
573	10,930000	11,530000	0,250000
579	9,520000	10,690000	0,250000
586	8,670000	10,130000	0,250000
592	9,230000	8,020000	0,250000
600	9,430000	6,800000	0,250000
606	9,710000	8,540000	0,250000
613	8,910000	11,170000	0,250000
620	10,320000	11,090000	0,250000
626	11,450000	10,990000	0,250000
633	10,770000	11,720000	0,250000
640	9,950000	11,150000	0,250000
647	8,150000	8,800000	0,250000
653	8,940000	7,020000	0,250000
660	9,240000	6,690000	0,250000
667	10,180000	8,310000	0,250000
673	9,750000	10,960000	0,250000
680	10,090000	13,620000	0,250000
687	10,360000	12,380000	0,250000
694	10,160000	9,120000	0,250000
700	10,190000	7,830000	0,250000
707	9,210000	8,450000	0,250000
714	8,290000	8,720000	0,250000
720	8,970000	9,200000	0,250000
728	10,340000	10,610000	0,250000
734	10,810000	11,150000	0,250000
741	9,850000	10,720000	0,250000
747	9,930000	10,450000	0,250000
754	9,540000	9,920000	0,250000
761	9,780000	9,000000	0,250000
768	8,800000	9,290000	0,250000
775	8,380000	9,230000	0,250000
781	9,510000	8,080000	0,250000
788	10,090000	8,510000	0,250000
794	10,170000	10,070000	0,250000
801	10,570000	11,760000	0,250000
808	10,070000	12,120000	0,250000
815	9,860000	10,410000	0,250000
822	10,200000	8,890000	0,250000
828	10,100000	8,520000	0,250000
835	9,080000	9,500000	0,250000
842	9,580000	9,400000	0,250000
848	9,140000	8,820000	0,250000
856	9,490000	9,470000	0,250000
862	10,710000	10,510000	0,250000
869	9,700000	11,670000	0,250000
875	9,600000	11,910000	0,250000
882	9,610000	9,420000	0,250000
888	9,430000	7,260000	0,250000
896	8,690000	7,180000	0,250000
903	8,650000	9,030000	0,250000
909	10,150000	9,680000	0,250000
916	10,340000	10,350000	0,250000
922	11,270000	11,760000	0,250000
929	11,320000	12,030000	0,250000
936	10,070000	10,860000	0,250000
943	9,880000	10,200000	0,250000
950	9,520000	8,240000	0,250000
956	8,530000	6,990000	0,250000
963	8,870000	8,320000	0,250000
969	9,020000	9,940000	0,250000
976	10,100000	10,140000	0,250000
983	10,790000	10,820000	0,250000
990	10,490000	11,840000	0,250000
997	9,220000	11,360000	0,250000
1003	9,020000	8,920000	0,250000
1010	9,480000	6,930000	0,250000
1016	9,780000	7,560000	0,250000
1024	9,700000	9,550000	0,250000
1031	10,320000	11,580000	0,250000
1037	9,700000	12,940000	9,250000
1044	10,400000	11,620000	9,250000
1050	9,940000	9,480000	9,250000
1057	9,590000	8,700000	9,250000
1064	8,500000	8,600000	9,250000
1071	8,610000	8,240000	9,250000
1078	9,520000	8,570000	9,250000
1084	10,010000	10,120000	9,250000
1091	9,600000	10,720000	9,250000
1098	9,750000	10,420000	9,250000
1104	10,460000	10,210000	9,250000
1112	10,190000	10,330000	9,250000
1118	9,690000	10,540000	9,250000
1125	9,230000	9,700000	9,250000
1132	9,330000	8,410000	9,250000
1138	9,360000	7,890000	9,250000
1145	9,520000	9,210000	9,250000
1152	10,300000	10,830000	9,250000
1159	10,150000	12,310000	9,250000
1166	11,060000	11,610000	9,250000
1172	10,900000	9,770000	9,250000
1179	9,220000	8,720000	9,250000
1185	9,000000	8,910000	9,250000
1192	8,300000	8,940000	9,250000
1200	8,570000	8,310000	9,250000
1206	9,220000	8,590000	9,250000
1213	10,900000	9,940000	9,250000
1219	10,510000	11,270000	9,250000
1226	10,160000	12,700000	9,250000
1233	10,850000	12,110000	9,250000
1240	9,860000	9,730000	9,250000
1247	9,020000	7,570000	9,250000
1254	8,870000	7,580000	9,250000
1260	9,520000	8,500000	9,250000
1267	9,930000	9,370000	9,250000
1273	10,030000	10,920000	9,250000
1281	10,320000	12,420000	9,250000
1288	10,000000	11,440000	9,250000
1294	10,390000	10,000000	9,250000
1301	9,400000	9,040000	9,250000
1307	8,650000	8,060000	9,250000
1314	8,780000	7,200000	9,250000
1321	8,350000	8,710000	9,250000
1328	10,150000	10,130000	9,250000
1335	11,080000	10,950000	9,250000
1341	11,020000	11,980000	9,250000
1348	10,360000	12,600000	9,250000
1355	9,580000	10,480000	9,250000
1361	9,010000	7,520000	9,250000
1369	9,700000	7,230000	9,250000
1375	9,640000	8,870000	9,250000
1382	9,630000	9,610000	9,250000
1389	10,120000	11,000000	9,250000
1395	10,300000	12,160000	9,250000
1402	9,260000	10,580000	9,250000
1410	9,180000	8,620000	9,250000
1416	8,800000	8,590000	9,250000
1423	8,590000	8,580000	9,250000
1429	9,290000	8,110000	9,250000
1436	9,550000	9,780000	9,250000
1442	9,760000	11,280000	9,250000
1449	10,130000	10,390000	9,250000
1457	11,270000	10,330000	9,250000
1463	10,500000	11,420000	9,250000
1470	9,290000	11,010000	9,250000
1477	9,190000	9,210000	9,250000
1483	9,490000	8,200000	9,250000
1490	9,270000	7,860000	9,250000
1497	9,010000	8,450000	9,250000
1504	9,230000	9,900000	9,250000
1511	9,770000	11,150000	9,250000
1517	10,090000	11,130000	9,250000
1524	10,180000	10,330000	9,250000
1530	9,960000	9,810000	9,250000
1538	9,800000	9,730000	9,250000
1545	9,170000	9,060000	9,250000
1551	8,560000	8,370000	9,250000
1558	8,850000	8,950000	9,250000
1564	9,990000	9,680000	9,250000
1571	10,500000	10,600000	9,250000
1579	11,090000	12,210000	9,250000
1585	11,040000	12,710000	9,250000
1592	10,100000	10,600000	9,250000
1598	8,690000	7,960000	9,250000
1605	8,290000	7,080000	9,250000
1612	8,880000	7,310000	9,250000
1618	9,050000	8,520000	9,250000
1626	9,120000	10,200000	9,250000
1632	10,770000	12,090000	9,250000
1639	10,470000	11,880000	9,250000
1646	10,520000	10,800000	9,250000
1652	10,420000	10,650000	9,250000
1659	9,170000	9,080000	9,250000
1666	8,930000	7,080000	9,250000
1673	9,640000	7,490000	9,250000
1680	10,320000	9,720000	9,250000
1686	10,090000	10,570000	9,250000
1693	10,630000	11,790000	9,250000
1700	10,370000	12,620000	9,250000
1707	10,250000	10,590000	9,250000
1714	9,380000	7,870000	9,250000
1720	9,330000	7,320000	9,250000
1727	8,960000	8,280000	9,250000
1734	9,440000	8,550000	9,250000
1740	10,340000	10,470000	9,250000
1747	10,610000	12,790000	9,250000
1754	9,570000	11,620000	9,250000
