time	CH1	CH2	CH3
1106	9,700000	9,830000	0,000000
1114	9,700000	9,830000	0,000000
1120	9,740000	9,820000	0,000000
1127	9,740000	9,810000	0,000000
1134	9,740000	9,860000	0,000000
1140	9,770000	9,790000	0,000000
1147	9,750000	9,810000	0,000000
1154	9,730000	9,810000	0,000000
1161	9,710000	9,840000	0,000000
1167	9,710000	9,820000	0,000000
1174	9,720000	9,840000	0,000000
1181	9,750000	9,800000	0,000000
1187	9,740000	9,840000	0,000000
1195	9,730000	9,820000	0,000000
1201	9,740000	9,840000	0,000000
1208	9,740000	9,810000	0,000000
1214	9,730000	9,800000	0,000000
1221	9,710000	9,810000	0,000000
1228	9,750000	9,830000	0,000000
1234	9,740000	9,830000	0,000000
1242	9,740000	9,810000	0,000000
1248	9,740000	9,820000	0,000000
1255	9,740000	9,830000	0,000000
1261	9,740000	9,850000	0,000000
1268	9,710000	9,820000	0,000000
1275	9,750000	9,810000	0,000000
1282	9,730000	9,790000	0,000000
1289	9,720000	9,850000	0,000000
1295	9,740000	9,820000	0,000000
1302	9,740000	9,820000	0,000000
1308	9,740000	9,840000	0,000000
1315	9,750000	9,820000	0,000000
1323	9,710000	9,800000	0,000000
1329	9,700000	9,850000	0,000000
1336	9,710000	9,820000	0,000000
1342	9,710000	9,810000	0,000000
1349	9,740000	9,830000	0,000000
1355	9,750000	9,810000	0,000000
1362	9,740000	9,810000	0,000000
1370	9,750000	9,830000	0,000000
1376	9,750000	9,810000	0,000000
1383	9,720000	9,820000	0,000000
1389	9,740000	9,800000	0,000000
1396	9,690000	9,810000	0,000000
1402	9,730000	9,810000	0,000000
1410	9,760000	9,850000	0,000000
1417	9,750000	9,830000	0,000000
1423	9,740000	9,820000	0,000000
1430	9,740000	9,840000	0,000000
1436	9,700000	9,850000	0,000000
1443	9,740000	9,820000	0,000000
1449	9,750000	9,840000	0,000000
1457	9,740000	9,820000	0,000000
1464	9,720000	9,780000	0,000000
1470	9,730000	9,870000	0,000000
1477	9,740000	9,850000	0,000000
1483	9,740000	9,790000	0,000000
1490	9,740000	9,870000	0,000000
1497	9,730000	9,860000	0,000000
1504	9,730000	9,860000	0,000000
1511	9,730000	9,860000	0,000000
1517	9,720000	9,820000	0,000000
1524	9,750000	9,810000	0,000000
1530	9,740000	9,820000	0,000000
1538	9,740000	9,800000	0,000000
1544	9,730000	9,830000	0,000000
1551	9,740000	9,850000	0,000000
1558	9,730000	9,840000	0,000000
1564	9,690000	9,840000	0,000000
1571	9,700000	9,790000	0,000000
1577	9,710000	9,840000	0,000000
1585	9,730000	9,800000	0,000000
1591	9,750000	9,820000	0,000000
1598	9,750000	9,820000	0,000000
1605	9,760000	9,840000	0,000000
1611	9,750000	9,800000	0,000000
1618	9,740000	9,820000	0,000000
1625	9,740000	9,820000	0,000000
1632	9,740000	9,830000	0,000000
1638	9,740000	9,800000	0,000000
1645	9,730000	9,820000	0,000000
1652	9,750000	9,840000	0,000000
1658	9,730000	9,820000	0,000000
1666	9,730000	9,810000	0,000000
1672	9,700000	9,830000	0,000000
1679	9,730000	9,810000	0,000000
1685	9,750000	9,810000	0,000000
1692	9,750000	9,810000	0,000000
