Czas [ms]	 Przyspieszenie obudowy [m/s^2]	 Przyspieszenie eliminatora  [m/s^2]	Prêdkoœæ obrotowa [obr/sek]
16	12,460000	9,650000	0,000000
22	9,660000	9,890000	0,500000
29	7,770000	7,140000	0,250000
35	5,280000	7,670000	0,250000
43	7,610000	8,460000	0,250000
49	11,560000	14,130000	0,250000
56	14,850000	11,620000	0,250000
62	12,000000	10,980000	0,250000
69	6,650000	5,390000	0,250000
75	1,100000	7,220000	0,250000
82	5,640000	7,820000	0,250000
89	10,880000	15,140000	0,250000
96	14,560000	12,490000	0,250000
102	14,430000	10,920000	0,250000
109	5,820000	6,200000	0,250000
115	5,120000	4,290000	0,250000
122	5,040000	7,540000	0,250000
130	13,780000	11,690000	0,250000
136	14,910000	14,210000	0,250000
143	14,280000	11,230000	0,250000
149	6,160000	7,850000	0,250000
156	5,370000	6,190000	0,250000
163	5,080000	10,700000	0,250000
169	12,660000	11,050000	0,250000
177	12,420000	12,260000	0,250000
183	14,660000	12,720000	0,250000
190	7,840000	7,020000	0,250000
197	7,040000	5,610000	0,250000
203	5,990000	7,810000	0,250000
210	13,060000	14,150000	0,250000
217	13,360000	10,510000	0,250000
224	13,330000	13,140000	0,250000
230	9,690000	9,360000	0,250000
237	3,160000	7,080000	0,250000
244	6,680000	7,720000	0,250000
250	10,170000	10,870000	0,250000
258	13,990000	14,590000	0,250000
264	12,000000	11,250000	0,250000
271	11,270000	9,690000	0,250000
278	4,350000	5,550000	0,250000
284	4,840000	9,360000	0,250000
291	9,070000	10,260000	0,250000
297	12,830000	16,820000	0,250000
305	12,470000	8,490000	0,250000
311	9,550000	8,870000	0,250000
318	3,380000	4,130000	0,250000
325	6,820000	7,520000	0,250000
331	11,250000	9,260000	0,250000
338	13,010000	18,350000	0,250000
345	16,440000	14,860000	0,250000
352	12,030000	10,380000	0,250000
359	4,920000	5,700000	0,250000
365	4,410000	7,190000	0,250000
372	9,670000	11,420000	0,250000
378	13,780000	11,140000	0,250000
386	15,310000	11,690000	0,250000
392	10,590000	7,740000	0,250000
399	6,940000	4,950000	0,250000
406	3,620000	7,510000	0,250000
412	6,740000	10,860000	0,250000
419	14,630000	11,590000	0,250000
425	15,890000	11,680000	0,250000
433	10,620000	10,110000	0,250000
440	7,020000	5,560000	0,250000
446	5,740000	7,310000	0,250000
453	10,470000	9,130000	0,250000
459	13,760000	15,490000	0,250000
466	15,540000	11,880000	0,250000
474	11,730000	10,940000	0,250000
480	7,380000	6,320000	0,250000
487	5,860000	6,490000	0,250000
493	8,840000	9,640000	0,250000
500	13,880000	14,650000	0,250000
506	15,430000	12,390000	0,250000
514	11,720000	9,990000	0,250000
521	6,360000	8,100000	0,250000
527	1,480000	6,250000	0,250000
534	8,770000	10,260000	0,250000
540	9,650000	14,400000	0,250000
547	13,890000	12,280000	0,250000
553	9,310000	10,400000	0,250000
561	8,440000	5,650000	0,250000
568	3,720000	7,040000	0,250000
574	9,070000	9,120000	0,250000
581	12,210000	11,590000	0,250000
587	15,850000	11,190000	0,250000
594	9,270000	12,220000	0,250000
602	7,930000	5,700000	0,250000
608	1,500000	6,720000	0,250000
615	9,010000	6,500000	0,250000
621	11,610000	13,870000	0,250000
628	15,110000	11,990000	0,250000
634	13,370000	10,900000	0,250000
642	8,590000	6,760000	0,250000
649	4,260000	4,540000	0,250000
655	6,720000	10,990000	0,250000
662	14,620000	10,400000	0,250000
668	14,090000	14,190000	0,250000
675	12,770000	10,660000	0,250000
683	6,200000	8,270000	0,250000
689	2,190000	6,610000	0,250000
696	4,290000	10,300000	0,250000
702	12,370000	13,250000	0,250000
709	14,980000	15,150000	0,250000
716	15,090000	12,000000	0,250000
722	7,520000	5,750000	0,250000
730	6,040000	7,180000	0,250000
736	7,290000	8,170000	0,250000
743	9,800000	13,390000	0,250000
749	14,940000	13,940000	0,250000
756	14,880000	11,810000	0,250000
763	7,370000	8,000000	0,250000
770	3,450000	6,190000	0,250000
777	7,730000	7,650000	0,250000
783	10,410000	12,250000	0,250000
790	12,320000	14,120000	0,250000
797	12,080000	12,000000	0,250000
803	6,250000	7,350000	0,250000
811	4,510000	4,320000	0,250000
817	4,330000	7,170000	0,250000
824	11,820000	12,040000	0,250000
830	13,420000	11,280000	0,250000
837	14,390000	13,310000	0,250000
844	10,410000	7,480000	0,250000
850	6,540000	6,560000	0,250000
858	3,890000	5,540000	0,250000
864	9,230000	11,920000	0,250000
871	12,120000	11,900000	0,250000
877	12,980000	12,070000	0,250000
884	8,720000	7,150000	0,250000
891	4,350000	6,120000	0,250000
898	3,980000	6,160000	0,250000
905	10,020000	10,090000	0,250000
911	14,710000	11,650000	0,250000
918	13,890000	12,500000	0,250000
925	10,760000	8,840000	0,250000
931	3,410000	5,990000	0,250000
939	6,140000	7,700000	0,250000
945	10,100000	10,860000	0,250000
952	15,660000	15,640000	0,250000
958	14,180000	13,310000	0,250000
965	11,600000	10,360000	0,250000
972	6,990000	6,020000	0,250000
978	6,240000	4,000000	0,250000
986	9,030000	10,970000	0,250000
992	13,870000	12,160000	0,250000
999	13,920000	12,090000	0,250000
1006	8,130000	7,380000	0,250000
1012	4,930000	5,620000	0,250000
1019	5,080000	5,030000	0,250000
1026	9,600000	9,820000	0,250000
1033	13,980000	15,160000	24,500000
1040	15,330000	11,840000	24,500000
1046	11,370000	11,720000	24,500000
1053	6,280000	6,090000	24,500000
1060	6,380000	6,450000	24,500000
1067	9,020000	11,690000	24,500000
1074	15,470000	12,370000	24,500000
1081	16,240000	11,040000	24,500000
1087	11,560000	7,270000	24,500000
1094	5,010000	5,150000	24,500000
1100	2,750000	7,550000	24,500000
1107	9,200000	12,000000	24,500000
1115	12,580000	13,930000	24,500000
1121	14,300000	14,060000	24,500000
1128	7,200000	8,660000	24,500000
1135	5,620000	5,370000	24,500000
1141	4,480000	7,570000	24,500000
1148	8,880000	11,320000	24,500000
1156	14,490000	12,250000	24,500000
1162	14,310000	9,790000	24,500000
1169	11,430000	11,240000	24,500000
1176	7,240000	3,410000	24,500000
1182	5,170000	7,820000	24,500000
1189	11,460000	9,840000	24,500000
1196	11,050000	15,730000	24,500000
1203	15,450000	11,400000	24,500000
1210	10,000000	8,010000	24,500000
1216	8,600000	6,660000	24,500000
1223	6,660000	6,610000	24,500000
1230	10,740000	12,600000	24,500000
1236	14,070000	12,970000	24,500000
1244	12,850000	12,840000	24,500000
1251	10,260000	7,410000	24,500000
1257	5,500000	5,590000	24,500000
1264	4,990000	5,460000	24,500000
1271	8,880000	10,340000	24,500000
1277	14,610000	14,420000	24,500000
1285	15,290000	11,550000	24,500000
1292	8,650000	9,710000	24,500000
1298	8,180000	5,850000	24,500000
1305	6,670000	8,570000	24,500000
1311	11,250000	10,870000	24,500000
1318	12,880000	13,920000	24,500000
1326	15,360000	10,790000	24,500000
1332	8,100000	6,900000	24,500000
1339	6,360000	8,100000	24,500000
1346	2,540000	5,390000	24,500000
1352	10,660000	13,690000	24,500000
1359	13,140000	13,060000	24,500000
1367	13,420000	13,000000	24,500000
1373	9,700000	6,300000	24,500000
1380	5,980000	6,990000	24,500000
1386	6,320000	7,470000	24,500000
1393	13,080000	12,360000	24,500000
1400	15,320000	13,880000	24,500000
1406	12,740000	8,880000	24,500000
1414	5,160000	6,100000	24,500000
1421	2,930000	5,200000	24,500000
1427	6,210000	8,160000	24,500000
1434	8,460000	10,710000	24,500000
1441	12,360000	13,050000	24,500000
1447	13,260000	12,220000	24,500000
1455	8,110000	6,590000	24,500000
1462	4,510000	6,420000	24,500000
1468	4,330000	5,550000	24,500000
1475	12,630000	15,310000	24,500000
1481	14,630000	11,410000	24,500000
1488	14,600000	12,900000	24,500000
1496	8,610000	4,810000	24,500000
1502	2,350000	7,780000	24,500000
1509	6,800000	8,620000	24,500000
1516	11,860000	12,340000	24,500000
1522	13,620000	9,000000	24,500000
1529	14,440000	11,310000	24,500000
1537	4,400000	4,100000	24,500000
1543	3,080000	5,670000	24,500000
1550	7,760000	9,010000	24,500000
1556	14,630000	13,990000	24,500000
1563	14,220000	13,080000	24,500000
1570	14,550000	10,320000	24,500000
1576	5,430000	4,740000	24,500000
1584	3,250000	8,780000	24,500000
1591	8,610000	9,200000	24,500000
1597	14,150000	15,270000	24,500000
1604	14,960000	11,910000	24,500000
1611	11,730000	9,690000	24,500000
1617	7,890000	4,590000	24,500000
1625	3,830000	8,640000	24,500000
1631	5,310000	10,740000	24,500000
1638	14,760000	14,860000	24,500000
1645	16,890000	9,170000	24,500000
1651	10,880000	9,740000	24,500000
1658	4,080000	3,280000	24,500000
1666	2,350000	9,010000	24,500000
1672	6,890000	9,240000	24,500000
1679	11,790000	14,800000	24,500000
1686	14,300000	10,890000	24,500000
1692	8,130000	9,640000	24,500000
1699	7,470000	5,010000	24,500000
1705	6,500000	9,920000	24,500000
1713	10,020000	11,320000	24,500000
1720	14,730000	15,560000	24,500000
1726	14,490000	10,450000	24,500000
1733	6,960000	7,640000	24,500000
1740	5,440000	5,170000	24,500000
1746	5,210000	8,240000	24,500000
1754	13,800000	12,780000	24,500000
1761	16,020000	15,640000	24,500000
1767	14,290000	9,790000	24,500000
1774	7,340000	6,870000	24,500000
1780	6,090000	6,250000	24,500000
1787	6,120000	8,210000	24,500000
1795	10,350000	12,620000	24,500000
1801	13,810000	15,140000	24,500000
1808	12,390000	10,110000	24,500000
1815	6,350000	6,140000	24,500000
1821	4,680000	6,830000	24,500000
1828	7,280000	8,950000	24,500000
1836	10,620000	12,360000	24,500000
1842	14,770000	12,510000	24,500000
1849	12,860000	9,510000	24,500000
1856	7,870000	7,860000	24,500000
1862	6,420000	7,490000	24,500000
1869	10,630000	10,100000	24,500000
1876	12,820000	13,550000	24,500000
1883	11,450000	8,440000	24,500000
1890	11,070000	10,030000	24,500000
1896	7,180000	4,950000	24,500000
1903	2,800000	8,620000	24,500000
1910	11,690000	7,030000	24,500000
1916	15,560000	16,690000	24,500000
1924	15,930000	6,470000	24,500000
1931	6,850000	8,940000	24,500000
1937	6,290000	4,520000	24,500000
1944	5,520000	8,850000	24,500000
1951	10,400000	12,120000	24,500000
1957	14,560000	13,220000	24,500000
1965	13,130000	11,840000	24,500000
1972	11,730000	8,570000	24,500000
1978	3,640000	5,240000	24,500000
1985	5,140000	9,300000	24,500000
1991	10,920000	11,680000	24,500000
1998	13,440000	16,040000	24,500000
2006	16,060000	6,710000	24,500000
2012	8,130000	6,440000	24,500000
2019	4,640000	3,480000	24,500000
