Czas [ms]	 Przyspieszenie obudowy [m/s^2]	 Przyspieszenie eliminatora  [m/s^2]	Prêdkoœæ obrotowa [obr/sek]
15	5,300000	5,640000	0,000000
22	11,090000	15,450000	0,250000
29	15,220000	14,730000	0,250000
35	14,240000	14,640000	0,250000
43	10,410000	6,200000	0,250000
49	5,590000	4,940000	0,250000
56	4,050000	5,240000	0,250000
62	7,880000	8,240000	0,250000
69	12,870000	12,140000	0,250000
75	16,920000	15,600000	0,250000
82	15,270000	13,250000	0,250000
89	8,430000	8,520000	0,250000
96	5,980000	5,540000	0,250000
102	5,540000	2,810000	0,250000
109	8,310000	9,120000	0,250000
115	12,250000	10,200000	0,250000
122	14,890000	17,180000	0,250000
130	16,110000	9,720000	0,250000
136	10,500000	12,660000	0,250000
143	4,880000	1,600000	0,250000
149	4,780000	7,570000	0,250000
156	6,610000	5,090000	0,250000
162	12,930000	16,060000	0,250000
169	15,520000	13,990000	0,250000
177	14,480000	15,520000	0,250000
183	9,900000	7,770000	0,250000
190	5,720000	6,020000	0,250000
196	3,370000	3,160000	0,250000
203	6,490000	7,060000	0,250000
210	10,730000	13,790000	0,250000
217	14,560000	16,460000	0,250000
224	13,400000	14,350000	0,250000
230	10,110000	8,530000	0,250000
237	4,110000	4,320000	0,250000
243	4,920000	4,340000	0,250000
250	7,260000	9,170000	0,250000
258	13,720000	11,800000	0,250000
264	17,090000	18,080000	0,250000
271	13,830000	10,210000	0,250000
277	8,470000	10,430000	0,250000
284	4,790000	2,910000	0,250000
290	4,630000	7,920000	0,250000
297	7,300000	6,330000	0,250000
305	11,320000	15,270000	0,250000
311	16,050000	13,230000	0,250000
318	13,720000	14,680000	0,250000
324	9,440000	5,640000	0,250000
331	5,570000	6,820000	0,250000
338	5,340000	4,730000	0,250000
345	7,730000	11,510000	0,250000
352	13,750000	13,020000	0,250000
358	17,300000	15,720000	0,250000
365	13,420000	11,800000	0,250000
372	9,660000	9,160000	0,250000
378	3,690000	2,920000	0,250000
386	5,020000	5,520000	0,250000
392	6,380000	8,620000	0,250000
399	13,740000	14,680000	0,250000
405	17,030000	15,690000	0,250000
412	14,090000	10,750000	0,250000
419	8,990000	8,860000	0,250000
425	3,320000	3,590000	0,250000
433	4,210000	5,150000	0,250000
439	9,010000	8,760000	0,250000
446	14,670000	15,970000	0,250000
452	16,820000	14,890000	0,250000
459	12,650000	12,100000	0,250000
466	8,280000	7,870000	0,250000
473	2,770000	4,800000	0,250000
480	1,950000	4,770000	0,250000
486	9,460000	10,140000	0,250000
493	12,510000	13,710000	0,250000
499	15,480000	17,710000	0,250000
506	12,070000	12,320000	0,250000
514	5,170000	7,840000	0,250000
520	2,060000	1,870000	0,250000
527	5,390000	8,840000	0,250000
533	7,350000	9,330000	0,250000
540	12,650000	14,680000	0,250000
546	15,400000	13,750000	0,250000
553	13,540000	11,190000	0,250000
561	7,940000	7,920000	0,250000
567	3,260000	4,570000	0,250000
574	2,490000	8,160000	0,250000
580	7,630000	10,060000	0,250000
587	12,770000	13,780000	0,250000
593	15,300000	15,620000	0,250000
601	13,450000	11,570000	0,250000
608	7,820000	7,510000	0,250000
614	4,510000	4,090000	0,250000
621	6,480000	5,170000	0,250000
627	9,650000	9,870000	0,250000
634	13,480000	14,800000	0,250000
641	17,290000	16,580000	0,250000
648	13,070000	9,390000	0,250000
655	6,130000	7,830000	0,250000
661	4,100000	2,660000	0,250000
668	4,460000	7,040000	0,250000
674	9,700000	8,600000	0,250000
