Czas [ms]	 Przyspieszenie obudowy [m/s^2]	 Przyspieszenie eliminatora  [m/s^2]	Prêdkoœæ obrotowa [obr/sek]
16	9,480000	13,780000	0,000000
22	16,550000	12,510000	0,250000
29	15,200000	8,040000	0,250000
35	7,700000	5,440000	0,250000
43	5,540000	6,580000	0,250000
49	5,990000	12,110000	0,250000
56	13,930000	14,000000	0,250000
62	12,340000	11,520000	0,250000
69	7,020000	9,200000	0,250000
75	2,360000	3,850000	0,250000
82	5,550000	6,500000	0,250000
89	9,870000	12,360000	0,250000
96	14,110000	14,460000	0,250000
102	12,100000	12,450000	0,250000
109	8,590000	7,510000	0,250000
116	3,940000	5,200000	0,250000
122	3,860000	8,970000	0,250000
130	12,240000	14,230000	0,250000
136	14,170000	14,220000	0,250000
143	11,880000	9,590000	0,250000
149	7,270000	4,670000	0,250000
156	2,200000	5,570000	0,250000
163	4,670000	11,480000	0,250000
169	13,920000	11,550000	0,250000
177	14,810000	12,200000	0,250000
183	15,220000	5,250000	0,250000
190	7,320000	4,090000	0,250000
197	7,410000	4,340000	0,250000
203	8,970000	11,030000	0,250000
210	14,940000	14,810000	0,250000
217	11,810000	10,670000	0,250000
224	9,820000	6,580000	0,250000
230	2,660000	5,920000	0,250000
237	1,200000	6,010000	0,250000
244	11,340000	13,140000	0,250000
250	16,250000	14,120000	0,250000
258	13,740000	11,530000	0,250000
264	9,190000	6,440000	0,250000
271	3,060000	5,210000	0,250000
278	6,000000	10,350000	0,250000
284	12,410000	12,250000	0,250000
291	16,270000	12,780000	0,250000
297	14,010000	9,130000	0,250000
305	8,330000	7,730000	0,250000
311	3,570000	3,790000	0,250000
318	9,020000	11,110000	0,250000
325	13,830000	14,820000	0,250000
331	14,870000	13,780000	0,250000
338	10,270000	8,800000	0,250000
345	5,720000	7,620000	0,250000
352	4,230000	5,890000	0,250000
359	11,050000	13,690000	0,250000
365	15,820000	13,410000	0,250000
372	14,820000	12,230000	0,250000
378	10,260000	5,620000	0,250000
386	3,890000	6,710000	0,250000
393	7,390000	10,260000	0,250000
399	10,430000	13,410000	0,250000
406	15,950000	15,050000	0,250000
412	13,210000	9,930000	0,250000
419	7,620000	6,760000	0,250000
425	1,520000	2,420000	0,250000
433	2,380000	12,390000	0,250000
440	13,030000	14,030000	0,250000
446	16,290000	17,980000	0,250000
453	11,520000	10,840000	0,250000
459	10,110000	7,570000	0,250000
466	4,730000	4,450000	0,250000
473	6,730000	11,530000	0,250000
480	12,500000	13,580000	0,250000
487	14,570000	14,990000	0,250000
493	9,570000	6,960000	0,250000
500	4,700000	7,510000	0,250000
506	4,660000	6,440000	0,250000
514	8,120000	13,690000	0,250000
521	14,490000	13,590000	0,250000
527	12,390000	8,490000	0,250000
534	6,810000	8,740000	0,250000
540	2,490000	4,740000	0,250000
547	2,590000	9,950000	0,250000
553	9,060000	11,930000	0,250000
561	17,340000	15,330000	0,250000
568	16,790000	6,570000	0,250000
574	10,430000	8,040000	0,250000
581	7,110000	4,830000	0,250000
587	9,100000	10,440000	0,250000
594	11,720000	12,680000	0,250000
602	15,500000	14,820000	0,250000
608	10,630000	9,040000	0,250000
615	6,050000	5,470000	0,250000
621	3,480000	4,210000	0,250000
628	7,080000	14,540000	0,250000
634	15,500000	14,960000	0,250000
642	13,030000	9,030000	0,250000
649	12,850000	11,270000	0,250000
655	3,810000	4,090000	0,250000
662	2,460000	7,600000	0,250000
668	9,810000	11,320000	0,250000
675	15,410000	14,920000	0,250000
683	14,510000	9,290000	0,250000
689	10,710000	7,620000	0,250000
696	7,760000	3,170000	0,250000
702	7,330000	8,260000	0,250000
709	10,810000	13,280000	0,250000
715	15,230000	15,940000	0,250000
722	10,840000	7,400000	0,250000
730	6,550000	7,070000	0,250000
736	3,480000	4,730000	0,250000
743	7,030000	11,730000	0,250000
749	14,940000	13,600000	0,250000
756	15,330000	17,070000	0,250000
763	12,560000	8,250000	0,250000
770	3,670000	7,150000	0,250000
777	5,530000	6,050000	0,250000
783	9,760000	12,970000	0,250000
790	14,900000	15,170000	0,250000
796	15,370000	12,610000	0,250000
803	10,350000	7,380000	0,250000
811	4,690000	4,870000	0,250000
817	4,590000	6,280000	0,250000
824	9,160000	12,360000	0,250000
830	15,650000	15,710000	0,250000
837	12,390000	9,750000	0,250000
844	8,420000	8,500000	0,250000
850	6,910000	6,120000	0,250000
858	7,830000	11,380000	0,250000
864	13,020000	12,920000	0,250000
871	14,440000	15,710000	0,250000
877	14,100000	8,780000	0,250000
884	5,430000	5,050000	0,250000
891	6,090000	3,400000	0,250000
898	6,390000	12,230000	0,250000
905	13,980000	13,180000	0,250000
911	13,840000	13,800000	0,250000
918	12,390000	7,740000	0,250000
925	6,400000	7,200000	0,250000
931	2,220000	4,740000	0,250000
939	8,230000	13,130000	0,250000
945	13,480000	13,560000	0,250000
952	12,800000	15,190000	0,250000
958	9,660000	6,500000	0,250000
965	5,440000	4,550000	0,250000
972	7,600000	8,650000	0,250000
